#SampleID	ERR2010979	ERR315850	ERR315851	ERR315852	ERR315853	ERR315854	ERR315855
sk__Archaea	4	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia	295	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata	261	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae	3	0	0	0	0	0	0
sk__Bacteria	939	202	962	741	669	327	424
sk__Bacteria;k__;p__Acidobacteria	1	18	0	0	1	0	0
sk__Bacteria;k__;p__Acidobacteria;c__;o__;f__;g__;s__Acidobacteria_bacterium_IGE-018	0	5	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	0	3	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter	0	6	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria	5	0	22	59	56	8	8
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	56	179	94	206	34	13	77
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae	2	7	8	42	12	28	49
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	7	18	5	3	5	2	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0	7	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales	48	0	35	5	21	9	8
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae	66	0	25	11	29	26	19
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae;g__Candidatus_Actinomarina	849	913	2390	2002	1128	1207	1349
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0	18	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0	10	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	2	5	2	2	5	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae	0	2	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium	1	20	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Ornithinimicrobium	0	0	2	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0	0	11	51	30	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Candidatus_Aquiluna	0	67	30	27	22	19	24
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium	8	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0	0	2	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0	2	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	0	12	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	0	78	1	1	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	0	46	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Sporichthyales;f__Sporichthyaceae	0	0	0	1	0	0	0
