#SampleID	ERR2271620	ERR2271630	ERR2271640	ERR2271650	ERR2271660	ERR2271670	ERR2271621	ERR2271631	ERR2271641	ERR2271651	ERR2271661	ERR2271671	ERR2271622	ERR2271632	ERR2271642	ERR2271652	ERR2271662	ERR2271672	ERR2271623	ERR2271633	ERR2271643	ERR2271653	ERR2271663	ERR2271673	ERR2271614	ERR2271624	ERR2271634	ERR2271644	ERR2271654	ERR2271664	ERR2271674	ERR2271615	ERR2271625	ERR2271635	ERR2271645	ERR2271655	ERR2271665	ERR2271675	ERR2271616	ERR2271626	ERR2271636	ERR2271646	ERR2271656	ERR2271666	ERR2271676	ERR2271617	ERR2271627	ERR2271637	ERR2271647	ERR2271657	ERR2271667	ERR2271677	ERR2271618	ERR2271628	ERR2271638	ERR2271648	ERR2271658	ERR2271668	ERR2271678	ERR2271619	ERR2271629	ERR2271639	ERR2271649	ERR2271659	ERR2271669	ERR2271679	ERR3130420	ERR3130421	ERR3130422	ERR3130423	ERR3130424	ERR3130415	ERR3130425	ERR3130416	ERR3130426	ERR3130417	ERR3130427	ERR3130418	ERR3130428	ERR3130419	ERR3130429
sk__Archaea	184	0	250	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	6	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	1	0	0	3	0	0	0	36	0	273	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	9	0	0	0	0	6	2	0	0	0	0	1
sk__Archaea;k__;p__Candidatus_Diapherotrites	41	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Verstraetearchaeota;c__Candidatus_Methanomethylia;o__Candidatus_Methanomethyliales;f__Candidatus_Methanomethyliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Woesearchaeota	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Crenarchaeota	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
sk__Archaea;k__;p__Euryarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia	7	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	4	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	6	1	0	0	0	0	1
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales;f__;g__;s__Marine_group_II_euryarchaeote_REDSEA-S03_B6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales;f__Candidatus_Thalassarchaeaceae;g__Candidatus_Thalassarchaeum;s__Candidatus_Thalassoarchaea_mediterranii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1
