#SampleID	ERR4234280	ERR4234290	ERR4234300	ERR4234310	ERR4234320	ERR4234330	ERR4234340	ERR4234350	ERR4234360	ERR4234370	ERR4234380	ERR4234390	ERR4234400	ERR4234410	ERR4234420	ERR4234430	ERR4234440	ERR4234450	ERR4234460	ERR4234470	ERR4234480	ERR4234490	ERR4234500	ERR4234510	ERR4234520	ERR4234281	ERR4234291	ERR4234301	ERR4234311	ERR4234321	ERR4234331	ERR4234341	ERR4234351	ERR4234361	ERR4234371	ERR4234381	ERR4234391	ERR4234401	ERR4234411	ERR4234421	ERR4234431	ERR4234441	ERR4234451	ERR4234461	ERR4234471	ERR4234481	ERR4234491	ERR4234501	ERR4234511	ERR4234521	ERR4234282	ERR4234292	ERR4234302	ERR4234312	ERR4234322	ERR4234332	ERR4234342	ERR4234352	ERR4234362	ERR4234372	ERR4234382	ERR4234392	ERR4234402	ERR4234412	ERR4234422	ERR4234432	ERR4234442	ERR4234452	ERR4234462	ERR4234472	ERR4234482	ERR4234492	ERR4234502	ERR4234512	ERR4234522	ERR4234283	ERR4234293	ERR4234303	ERR4234313	ERR4234323	ERR4234333	ERR4234343	ERR4234353	ERR4234363	ERR4234373	ERR4234383	ERR4234393	ERR4234403	ERR4234413	ERR4234423	ERR4234433	ERR4234443	ERR4234453	ERR4234463	ERR4234473	ERR4234483	ERR4234493	ERR4234503	ERR4234513	ERR4234523	ERR4234284	ERR4234294	ERR4234304	ERR4234314	ERR4234324	ERR4234334	ERR4234344	ERR4234354	ERR4234364	ERR4234374	ERR4234384	ERR4234394	ERR4234404	ERR4234414	ERR4234424	ERR4234434	ERR4234444	ERR4234454	ERR4234464	ERR4234474	ERR4234484	ERR4234494	ERR4234504	ERR4234514	ERR4234524	ERR4234285	ERR4234295	ERR4234305	ERR4234315	ERR4234325	ERR4234335	ERR4234345	ERR4234355	ERR4234365	ERR4234375	ERR4234385	ERR4234395	ERR4234405	ERR4234415	ERR4234425	ERR4234435	ERR4234445	ERR4234455	ERR4234465	ERR4234475	ERR4234485	ERR4234495	ERR4234505	ERR4234515	ERR4234525	ERR4234286	ERR4234296	ERR4234306	ERR4234316	ERR4234326	ERR4234336	ERR4234346	ERR4234356	ERR4234366	ERR4234376	ERR4234386	ERR4234396	ERR4234406	ERR4234416	ERR4234426	ERR4234436	ERR4234446	ERR4234456	ERR4234466	ERR4234476	ERR4234486	ERR4234496	ERR4234506	ERR4234516	ERR4234526	ERR4234287	ERR4234297	ERR4234307	ERR4234317	ERR4234327	ERR4234337	ERR4234347	ERR4234357	ERR4234367	ERR4234377	ERR4234387	ERR4234397	ERR4234407	ERR4234417	ERR4234427	ERR4234437	ERR4234447	ERR4234457	ERR4234467	ERR4234477	ERR4234487	ERR4234497	ERR4234507	ERR4234517	ERR4234527	ERR4234288	ERR4234298	ERR4234308	ERR4234318	ERR4234328	ERR4234338	ERR4234348	ERR4234358	ERR4234368	ERR4234378	ERR4234388	ERR4234398	ERR4234408	ERR4234418	ERR4234428	ERR4234438	ERR4234448	ERR4234458	ERR4234468	ERR4234478	ERR4234488	ERR4234498	ERR4234508	ERR4234518	ERR4234279	ERR4234289	ERR4234299	ERR4234309	ERR4234319	ERR4234329	ERR4234339	ERR4234349	ERR4234359	ERR4234369	ERR4234379	ERR4234389	ERR4234399	ERR4234409	ERR4234419	ERR4234429	ERR4234439	ERR4234449	ERR4234459	ERR4234469	ERR4234479	ERR4234489	ERR4234499	ERR4234509	ERR4234519
sk__Archaea	0	1	0	1	0	2	0	2	9	0	9	0	1	1	0	29	0	0	0	0	0	0	12	0	0	0	0	4	5	2	0	0	1	0	0	1	1	0	2	0	1	0	0	1	0	1	0	40	0	5	1	2	0	11	1	1	9	0	3	2	5	0	11	1	4	2	0	0	0	0	0	0	7	0	0	0	0	0	2	8	2	0	3	0	2	1	0	5	2	0	0	0	1	3	1	2	0	21	0	4	0	0	1	0	0	1	1	0	8	0	4	0	6	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	3	1	0	1	1	3	0	0	4	0	5	0	12	0	4	4	0	0	0	7	1	1	0	5	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	15	0	0	4	2	0	0	0	0	3	0	0	0	0	2	1	0	0	10	0	0	0	0	2	8	21	2	1	4	4	5	1	0	19	1	4	3	0	6	3	0	3	0	0	0	0	0	0	0	0	1	0	1	14	0	0	0	0	1	0	0	5	3	5	0	1	0	0	1	0	2	0	10	8	0
sk__Archaea;k__;p__Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sk__Archaea;k__;p__Candidatus_Woesearchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Crenarchaeota	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia	0	5	0	0	0	0	2	0	23	0	8	2	0	6	0	144	0	0	0	0	0	0	15	0	0	0	18	0	26	0	0	0	0	17	0	3	3	0	8	0	37	0	0	1	0	72	0	31	1	0	0	22	0	7	0	3	0	1	8	0	36	0	0	2	0	57	0	0	0	0	0	0	43	0	0	0	1	0	3	0	6	0	0	5	0	13	0	0	0	0	4	0	7	0	0	26	0	132	0	0	0	3	0	6	0	33	0	0	0	0	37	0	28	0	0	27	0	0	0	0	0	1	1	0	5	0	0	0	17	0	20	0	6	0	0	7	0	9	1	0	23	0	3	0	0	9	0	60	0	2	0	0	1	7	0	35	0	21	0	0	3	0	30	0	0	1	0	0	0	0	0	0	2	0	35	0	0	0	2	0	18	0	0	0	0	4	0	0	0	0	1	0	0	0	2	0	0	13	0	66	1	0	1	0	1	2	0	59	0	5	0	0	32	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	0	20	0	2	0	0	25	0	3	0	0	3	0	39	0	2	13	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales;f__;g__;s__Marine_group_II_euryarchaeote_REDSEA-S03_B6	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	7	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales;f__;g__;s__Marine_group_II_euryarchaeote_REDSEA-S11_B3N4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales;f__Candidatus_Thalassarchaeaceae;g__Candidatus_Thalassarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales;f__Candidatus_Thalassarchaeaceae;g__Candidatus_Thalassarchaeum;s__Candidatus_Thalassoarchaea_mediterranii	0	3	0	0	0	0	1	0	7	0	15	6	0	4	0	22	0	0	0	0	0	0	8	0	0	0	3	0	4	0	0	0	0	3	0	4	7	0	0	0	1	0	1	4	0	11	0	22	0	0	0	8	0	1	0	0	0	0	4	0	14	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	3	0	3	0	2	0	0	2	0	3	0	0	0	0	1	0	5	0	0	19	0	24	5	0	0	4	0	3	0	11	0	0	0	0	20	0	21	2	0	20	0	0	0	0	0	0	0	0	0	0	1	0	6	0	2	0	1	0	0	3	0	11	4	0	6	0	1	0	0	21	0	12	0	1	0	8	0	10	0	5	0	20	0	0	1	0	3	0	1	2	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	14	0	10	3	0	0	0	0	5	0	7	0	0	0	0	13	0	12	6	0	0	0	0	0	0	0	0	2	0	0	2	0	2	4	0	0	0	0	1	0	4	0	4	0	0	1	0	5	0	0	10	0
