#SampleID	ERR10863180	ERR10863190	ERR10863200	ERR10863210	ERR10863220	ERR10863230	ERR10863240	ERR10863250	ERR10863260	ERR10863270	ERR10863280	ERR10863290	ERR10863300	ERR10863310	ERR10863320	ERR10863330	ERR10863340	ERR10863181	ERR10863191	ERR10863201	ERR10863211	ERR10863221	ERR10863231	ERR10863241	ERR10863251	ERR10863261	ERR10863271	ERR10863281	ERR10863291	ERR10863301	ERR10863311	ERR10863321	ERR10863331	ERR10863341	ERR10863182	ERR10863192	ERR10863202	ERR10863212	ERR10863222	ERR10863232	ERR10863242	ERR10863252	ERR10863262	ERR10863272	ERR10863282	ERR10863292	ERR10863302	ERR10863312	ERR10863322	ERR10863332	ERR10863342	ERR10863183	ERR10863193	ERR10863203	ERR10863213	ERR10863223	ERR10863233	ERR10863243	ERR10863253	ERR10863263	ERR10863273	ERR10863283	ERR10863293	ERR10863303	ERR10863313	ERR10863323	ERR10863333	ERR10863343	ERR10863184	ERR10863194	ERR10863204	ERR10863214	ERR10863224	ERR10863234	ERR10863244	ERR10863254	ERR10863264	ERR10863274	ERR10863284	ERR10863294	ERR10863304	ERR10863314	ERR10863334	ERR10863344	ERR10863185	ERR10863195	ERR10863205	ERR10863215	ERR10863225	ERR10863235	ERR10863245	ERR10863255	ERR10863265	ERR10863275	ERR10863285	ERR10863295	ERR10863305	ERR10863315	ERR10863335	ERR10863345	ERR10863186	ERR10863196	ERR10863206	ERR10863216	ERR10863226	ERR10863236	ERR10863246	ERR10863256	ERR10863266	ERR10863276	ERR10863286	ERR10863296	ERR10863306	ERR10863326	ERR10863336	ERR10863346	ERR10863177	ERR10863187	ERR10863197	ERR10863207	ERR10863217	ERR10863227	ERR10863237	ERR10863247	ERR10863257	ERR10863267	ERR10863277	ERR10863287	ERR10863297	ERR10863307	ERR10863317	ERR10863337	ERR10863178	ERR10863188	ERR10863198	ERR10863208	ERR10863218	ERR10863228	ERR10863238	ERR10863248	ERR10863258	ERR10863268	ERR10863278	ERR10863288	ERR10863298	ERR10863318	ERR10863328	ERR10863338	ERR10863179	ERR10863189	ERR10863199	ERR10863209	ERR10863219	ERR10863229	ERR10863239	ERR10863249	ERR10863259	ERR10863269	ERR10863279	ERR10863289	ERR10863299	ERR10863309	ERR10863319	ERR10863329	ERR10863339
sk__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Nostocales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	9	9	5	22	26	11	10	3	3	1	6	4	1	0	0	0	0	5	1	10	10	22	4	3	0	0	0	11	3	7	0	0	0	0	19	7	4	14	4	10	5	2	2	1	5	1	3	0	0	0	0	17	16	6	17	13	3	6	9	2	7	3	0	8	0	0	0	0	16	135	3	9	2	17	0	4	4	3	2	4	0	0	0	0	3	17	4	3	5	1	0	4	0	2	0	0	0	0	0	0	19	4	2	0	3	23	5	2	4	8	74	1	0	0	0	0	1	4	7	7	3	3	0	1	5	19	21	15	8	0	0	0	0	0	13	3	23	2	21	3	5	0	3	1	1	0	0	0	8	8	12	4	18	12	14	3	11	5	2	10	3	0	0	0	0
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ascidiaceihabitans	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
