#SampleID	ERR12069720	ERR12069730	ERR12069740	ERR12069750	ERR12069760	ERR12069770	ERR12069780	ERR12069790	ERR12069800	ERR12069810	ERR12069820	ERR12069830	ERR12069840	ERR12069850	ERR12069860	ERR12069870	ERR12069880	ERR12069890	ERR12069900	ERR12069910	ERR12069920	ERR12069721	ERR12069731	ERR12069741	ERR12069751	ERR12069761	ERR12069771	ERR12069781	ERR12069791	ERR12069801	ERR12069811	ERR12069821	ERR12069831	ERR12069841	ERR12069851	ERR12069861	ERR12069871	ERR12069881	ERR12069891	ERR12069901	ERR12069911	ERR12069722	ERR12069732	ERR12069742	ERR12069752	ERR12069762	ERR12069772	ERR12069782	ERR12069792	ERR12069802	ERR12069812	ERR12069822	ERR12069832	ERR12069842	ERR12069852	ERR12069862	ERR12069872	ERR12069882	ERR12069892	ERR12069902	ERR12069912	ERR12069723	ERR12069733	ERR12069743	ERR12069753	ERR12069763	ERR12069773	ERR12069793	ERR12069803	ERR12069813	ERR12069823	ERR12069833	ERR12069843	ERR12069853	ERR12069863	ERR12069873	ERR12069883	ERR12069893	ERR12069903	ERR12069913	ERR12069724	ERR12069734	ERR12069744	ERR12069754	ERR12069764	ERR12069774	ERR12069784	ERR12069794	ERR12069804	ERR12069814	ERR12069824	ERR12069834	ERR12069844	ERR12069854	ERR12069864	ERR12069874	ERR12069884	ERR12069894	ERR12069904	ERR12069914	ERR12069715	ERR12069725	ERR12069735	ERR12069745	ERR12069755	ERR12069765	ERR12069775	ERR12069785	ERR12069795	ERR12069805	ERR12069815	ERR12069825	ERR12069835	ERR12069845	ERR12069855	ERR12069865	ERR12069875	ERR12069885	ERR12069895	ERR12069905	ERR12069915	ERR12069716	ERR12069726	ERR12069736	ERR12069746	ERR12069756	ERR12069766	ERR12069776	ERR12069786	ERR12069796	ERR12069806	ERR12069816	ERR12069826	ERR12069836	ERR12069846	ERR12069856	ERR12069866	ERR12069876	ERR12069886	ERR12069896	ERR12069906	ERR12069916	ERR12069717	ERR12069727	ERR12069737	ERR12069747	ERR12069757	ERR12069767	ERR12069777	ERR12069787	ERR12069797	ERR12069807	ERR12069817	ERR12069827	ERR12069837	ERR12069847	ERR12069857	ERR12069867	ERR12069877	ERR12069887	ERR12069897	ERR12069907	ERR12069917	ERR12069718	ERR12069728	ERR12069738	ERR12069748	ERR12069758	ERR12069768	ERR12069778	ERR12069788	ERR12069798	ERR12069808	ERR12069818	ERR12069828	ERR12069838	ERR12069848	ERR12069858	ERR12069868	ERR12069878	ERR12069888	ERR12069898	ERR12069908	ERR12069918	ERR12069719	ERR12069729	ERR12069739	ERR12069749	ERR12069759	ERR12069769	ERR12069779	ERR12069789	ERR12069799	ERR12069809	ERR12069819	ERR12069829	ERR12069839	ERR12069849	ERR12069859	ERR12069869	ERR12069879	ERR12069889	ERR12069899	ERR12069909	ERR12069919
sk__Archaea	4	1	32	1	28	17	3	44	9	14	17	5	4	5	10	2	0	7	5	7	6	10	0	1	1	2	3	0	0	75	18	4	2	2	41	21	0	7	2	42	9	9	0	48	11	3	10	6	103	9	37	1	0	37	27	9	1	5	50	8	4	8	1	1	3	7	3	6	13	5	42	53	5	11	15	1	0	6	4	3	21	0	0	0	0	3	1	3	14	6	46	2	2	32	12	0	3	25	3	9	9	6	19	0	23	7	1	8	19	8	0	4	3	41	44	4	2	7	75	4	3	2	4	1	4	3	0	2	7	1	4	10	30	25	8	60	1	0	14	10	13	9	10	9	17	2	15	2	10	1	6	37	6	5	6	6	29	1	0	4	20	7	10	1	1	2	0	7	0	4	0	10	2	1	5	6	34	17	5	2	3	4	35	8	5	0	0	1	4	5	2	40	24	0	5	8	95	9	3	1	2	7	5	12	17
sk__Archaea;k__;p__Candidatus_Diapherotrites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Candidatus_Woesearchaeota	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Crenarchaeota	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
sk__Archaea;k__;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__;o__;f__;g__;s__Euryarchaeota_archaeon_SCGC_AAA286-E23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia	0	0	52	0	641	158	3	0	0	0	121	5	8	8	1	0	0	0	0	26	0	88	0	1	0	10	2	0	0	95	10	0	1	10	0	0	1	3	0	335	0	0	0	466	125	17	213	0	22	4	10	0	0	126	299	5	0	0	697	12	0	0	0	4	0	73	0	1	0	0	283	160	1	19	65	0	4	4	2	33	84	0	0	17	0	1	2	0	190	7	651	0	0	0	5	0	4	0	0	13	0	1	11	0	562	0	0	7	2	8	1	4	0	26	597	0	1	0	516	0	0	0	0	0	61	2	0	1	23	0	0	0	238	530	0	55	5	0	74	4	6	5	146	152	26	0	31	21	2	0	0	296	19	0	4	1	4	0	0	1	0	5	0	1	0	0	13	213	1	0	1	145	15	1	3	1	293	76	0	1	0	17	196	0	0	0	0	1	0	6	0	2	9	1	0	224	1341	44	1	0	0	105	6	0	68
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Candidatus_Poseidoniia;o__Candidatus_Poseidoniales;f__;g__;s__Marine_group_II_euryarchaeote_REDSEA-S03_B6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
