old_source_mat_id,ref_code_seq,ref_code,nucl_acid_ext,nucl_acid_amp,lib_reads_seqd,lib_layout,target_gene,target_subfragment,ampl_size,pcr_primers,mid,adapters,pcr_cond,seq_quality_check,seq_meth,dna_conc,dna_conc_method,dna_quantity_after_extraction,analysis,run,reads_name,mock_pr,mock_eu,source_mat_id_an,url_seq,sop_seq,source_mat_id,obs_id,batch,sample_type,seq_run_ro_crate_fname,forward_read_fname,backward_read_fname,run_status,version,date_started,system_run,output_loc,output_size
EMOBON_BPNS_So_210726_micro_1,DBH_AAAN,EMOBON00084,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,47913214.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,13.9,,1264.9,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAANOSDA_1_HMNJKDSX3.UDI248,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_BPNS_So_210726_micro_1_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_BPNS_So_5,BPNS,001,sediment,,DBH_AAANOSDA_1_1_HMNJKDSX3.UDI248_clean.fastq.gz,,COMPLETED,1.0,25/09/2023,REDI,,
EMOBON_BPNS_So_210726_micro_2,DBH_AAAO,EMOBON00085,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,43017431.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,5.33,,485.0,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAAOOSDA_1_HMNJKDSX3.UDI260,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_BPNS_So_210726_micro_2_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_BPNS_So_6,BPNS,001,sediment,,DBH_AAAOOSDA_1_1_HMNJKDSX3.UDI260_clean.fastq.gz,,COMPLETED,1.0,02/10/2023,REDI,,7.7
EMOBON_BPNS_So_210825_micro_3,DBH_AAAI,EMOBON00087,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,52460513.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,5.56,,489.3,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAAIOSDA_1_HMNJKDSX3.UDI224,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_BPNS_So_210825_micro_2_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_BPNS_So_13,BPNS,001,sediment,DBH_AAAIOSDA_1_HMNJKDSX3.UDI224.zip,DBH_AAAIOSDA_1_1_HMNJKDSX3.UDI224_clean.fastq.gz,DBH_AAAIOSDA_1_2_HMNJKDSX3.UDI224_clean.fastq.gz,COMPLETED,1.0,01/06/2023,HCMR-HPC,HCMR-HPC,12.0
EMOBON_NRMCB_So_210621_micro_1,DBH_AAAC,EMOBON00094,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,98315027.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:11,basic Genoscope QC,Illumina NovaSeq 6000,16.7,,1486.3,METAGENOMIC,220223_JARVIS_HWLTKDRXY,DBH_AAACOSDA_1_HWLTKDRXY.UDI211,DDC_AAAAOSDA_1_HWLTKDRXY.UDI212,DDC_AAABOSDA_1_HWLTKDRXY.UDI213,EMOBON_NRMCB So 210621_micro_1_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_NRMCB_So_1,NRMCB,001,sediment,,DBH_AAACOSDA_1_1_HWLTKDRXY.UDI211_clean.fastq.gz,,COMPLETED,1.0,18/07/2023,REDI,,19.0
EMOBON_NRMCB_So_210621_micro_2,DBH_AAAF,EMOBON00095,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,49770551.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,21.9,,1883.4,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAAFOSDA_1_HMNJKDSX3.UDI283,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_NRMCB So 210621_micro_2_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_NRMCB_So_2,NRMCB,001,sediment,,DBH_AAAFOSDA_1_1_HMNJKDSX3.UDI283_clean.fastq.gz,,COMPLETED,1.0,11/08/2023,REDI,,9.3
EMOBON_NRMCB_So_210831_micro_1,DBH_AAAG,EMOBON00097,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,53813205.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,30.5,,2470.5,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAAGOSDA_1_HMNJKDSX3.UDI200,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_NRMCB So 210831_micro_1_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_NRMCB_So_6,NRMCB,001,sediment,,DBH_AAAGOSDA_1_1_HMNJKDSX3.UDI200_clean.fastq.gz,,COMPLETED,1.0,18/08/2023,REDI,,9.8
EMOBON_NRMCB_So_210831_micro_2,DBH_AAAH,EMOBON00098,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,50894999.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,33.3,,2797.2,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAAHOSDA_1_HMNJKDSX3.UDI212,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_NRMCB So 210831_micro_2_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_NRMCB_So_7,NRMCB,001,sediment,,DBH_AAAHOSDA_1_1_HMNJKDSX3.UDI212_clean.fastq.gz,,COMPLETED,1.0,25/08/2023,REDI,,10.0
EMOBON_OOB_So_210608_micro_1,DBH_AAAA,EMOBON00001,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,58079642.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,1.7,,125.8,METAGENOMIC,220223_JARVIS_HWLTKDRXY,DBH_AAAAOSDA_1_HWLTKDRXY.UDI235,DDC_AAAAOSDA_1_HWLTKDRXY.UDI212,DDC_AAABOSDA_1_HWLTKDRXY.UDI213,EMOBON_OOB_So_210608_micro_1_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_OOB_So_1,OOB,001,sediment,,DBH_AAAAOSDA_1_1_HWLTKDRXY.UDI235_clean.fastq.gz,,COMPLETED,1.0,30/06/2023,REDI,,13.0
EMOBON_RFormosa_So_210805_micro_1,DBH_AAAL,EMOBON00092,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,61701779.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,9.05,,823.6,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAALOSDA_1_HMNJKDSX3.UDI236,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_RFormosa_So_210805_micro_1_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_RFormosa_So_1,RFormosa,001,sediment,,DBH_AAALOSDA_1_1_HMNJKDSX3.UDI236_clean.fastq.gz,,COMPLETED,1.0,31/08/2023,REDI,,11.0
EMOBON_RFormosa_So_210805_micro_2,DBH_AAAM,EMOBON00093,https://www.qiagen.com/us/products/discovery-and-translational-research/dna-rna-purification/dna-purification/microbial-dna/dneasy-powersoil-pro-kit?catno=47016,metag,46798558.0,paired,metag,metag,metag,metag,,,DNA Polymerase:taq Q5;NoPCRs:2;PCRvolume:30;Nocycles:10,basic Genoscope QC,Illumina NovaSeq 6000,1.17,,104.1,METAGENOMIC,220712_JARVIS_HMNJKDSX3,DBH_AAAMOSDA_4_HMNJKDSX3.UDI250,DDC_AAAAOSDA_1_HMNJKDSX3.UDI201,,EMOBON_RFormosa_So_210805_micro_2_metag,,Prod_ILL_BqADN_NEBUII_151_v4; Bq NEB Next Ultra II,EMOBON_RFormosa_So_2,RFormosa,001,sediment,,DBH_AAAMOSDA_4_1_HMNJKDSX3.UDI250_clean.fastq.gz,,COMPLETED,1.0,13/09/2023,REDI,,8.1
